dataset,variable,description,type,n,n_missing,pct_missing,details
analysis_cell_long.csv,pid,Public participant ID (integer; unique). Re-coded for release; not linkable to the identifiers used during data collection.,numeric,1365,0,0.0,"range: [102, 212]"
analysis_cell_long.csv,group,Group label (ASD or NT / Autistic or Non-autistic).,character,1365,0,0.0,"examples: ASD, NT"
analysis_cell_long.csv,phase,"Experiment phase (normalised): intro_play, q&a, goodbye.",character,1365,0,0.0,"examples: goodbye, intro_play, q&a"
analysis_cell_long.csv,engagement_type,"Engagement construct (e.g., touch, emotion, proximity, eye, communication).",character,1365,0,0.0,"examples: Communication, Emotion, Eye, Proximity"
analysis_cell_long.csv,mean_score,Mean score across attempted intervals (NA removed).,numeric,1365,246,0.18,"range: [-1.471, 5]"
analysis_cell_long.csv,missing_pct,Proportion missing within attempted span: true_missing / total_attempted.,numeric,1365,180,0.132,"range: [0, 1]"
analysis_cell_long.csv,flag_exclude_participant,Derived boolean flag used in inclusion/exclusion logic.,character,1365,0,0.0,"examples: FALSE, TRUE"
analysis_cell_long.csv,worst_missing_pct,Proportion (0–1).,numeric,1365,0,0.0,"range: [0, 1]"
analysis_cell_long.csv,attempted_intervals,Max attempted span recorded for the cell (pid×phase×type).,numeric,1365,0,0.0,"range: [0, 26]"
analysis_cell_long.csv,left_phase,"Whether the child left the phase (1 = yes, 0/NA = no).",numeric,1365,0,0.0,"range: [0, 1]"
analysis_cell_long.csv,total_attempted,Count of attempted intervals within the attempted span.,numeric,1365,0,0.0,"range: [0, 26]"
analysis_cell_long.csv,true_missing,Count of NA within the attempted span (after 99→NA).,numeric,1365,0,0.0,"range: [0, 23]"
analysis_cell_long.csv,flag_exclude_cell,Derived boolean flag used in inclusion/exclusion logic.,character,1365,180,0.132,"examples: FALSE, TRUE"
analysis_cell_long.csv,trial,Derived or carried variable from upstream data preparation.,numeric,1365,0,0.0,"range: [0, 1]"
analysis_cell_long.csv,practice_trial_1,"Practice trial 1: 1=correct, 0=incorrect, NA=missing.",numeric,1365,315,0.231,"range: [0, 1]"
analysis_cell_long.csv,practice_trial_2,"Practice trial 2: 1=correct, 0=incorrect, NA=missing.",numeric,1365,315,0.231,"range: [0, 1]"
analysis_cell_long.csv,pok_1,Derived or carried variable from upstream data preparation.,numeric,1365,330,0.242,"range: [0, 1]"
analysis_cell_long.csv,pok_2,Derived or carried variable from upstream data preparation.,numeric,1365,375,0.275,"range: [0, 1]"
analysis_cell_long.csv,pok_3,Derived or carried variable from upstream data preparation.,numeric,1365,420,0.308,"range: [0, 1]"
analysis_cell_long.csv,lif_1,Derived or carried variable from upstream data preparation.,numeric,1365,330,0.242,"range: [0, 1]"
analysis_cell_long.csv,lif_2,Derived or carried variable from upstream data preparation.,numeric,1365,360,0.264,"range: [0, 1]"
analysis_cell_long.csv,lif_3,Derived or carried variable from upstream data preparation.,numeric,1365,450,0.33,"range: [0, 1]"
analysis_cell_long.csv,neem_1,Derived or carried variable from upstream data preparation.,numeric,1365,345,0.253,"range: [0, 1]"
analysis_cell_long.csv,neem_2,Derived or carried variable from upstream data preparation.,numeric,1365,360,0.264,"range: [0, 1]"
analysis_cell_long.csv,neem_3,Derived or carried variable from upstream data preparation.,numeric,1365,420,0.308,"range: [0, 1]"
analysis_cell_long.csv,wug_1,Derived or carried variable from upstream data preparation.,numeric,1365,315,0.231,"range: [0, 1]"
analysis_cell_long.csv,wug_2,Derived or carried variable from upstream data preparation.,numeric,1365,390,0.286,"range: [0, 1]"
analysis_cell_long.csv,wug_3,Derived or carried variable from upstream data preparation.,numeric,1365,420,0.308,"range: [0, 1]"
analysis_cell_long.csv,total_pok,Derived or carried variable from upstream data preparation.,numeric,1365,420,0.308,"range: [0, 3]"
analysis_cell_long.csv,total_lif,Derived or carried variable from upstream data preparation.,numeric,1365,450,0.33,"range: [0, 3]"
analysis_cell_long.csv,total_neem,Derived or carried variable from upstream data preparation.,numeric,1365,420,0.308,"range: [0, 3]"
analysis_cell_long.csv,total_wug,Derived or carried variable from upstream data preparation.,numeric,1365,420,0.308,"range: [0, 3]"
analysis_cell_long.csv,total_test_score,Derived or carried variable from upstream data preparation.,numeric,1365,345,0.253,"range: [3, 12]"
analysis_cell_long.csv,no_test_items_completed,Derived or carried variable from upstream data preparation.,numeric,1365,900,0.659,"range: [6, 12]"
analysis_cell_long.csv,prox_intro_play,Derived or carried variable from upstream data preparation.,numeric,1365,75,0.055,"range: [0.04, 5]"
analysis_cell_long.csv,touch_intro_play,Derived or carried variable from upstream data preparation.,numeric,1365,75,0.055,"range: [1, 99]"
analysis_cell_long.csv,comm_intro_play,Derived or carried variable from upstream data preparation.,numeric,1365,75,0.055,"range: [1, 3.92]"
analysis_cell_long.csv,eye_intro_play,Derived or carried variable from upstream data preparation.,numeric,1365,75,0.055,"range: [1.67, 5]"
analysis_cell_long.csv,prox_qa,Derived or carried variable from upstream data preparation.,numeric,1365,210,0.154,"range: [1, 5]"
analysis_cell_long.csv,touch_qa,Derived or carried variable from upstream data preparation.,numeric,1365,210,0.154,"range: [1, 99]"
