pid,practice_trial_1,practice_trial_2,n_practice_valid,n_practice_correct,flag_practice_exclude
149,NA,NA,0,0,TRUE
114,NA,NA,0,0,TRUE
105,NA,NA,0,0,TRUE
111,1,1,2,2,FALSE
204,NA,NA,0,0,TRUE
211,NA,NA,0,0,TRUE
196,NA,NA,0,0,TRUE
186,NA,NA,0,0,TRUE
175,NA,NA,0,0,TRUE
128,NA,NA,0,0,TRUE
123,NA,NA,0,0,TRUE
169,NA,NA,0,0,TRUE
101,NA,NA,0,0,TRUE
135,NA,NA,0,0,TRUE
139,NA,NA,0,0,TRUE
155,NA,NA,0,0,TRUE
159,1,1,2,2,FALSE
120,1,1,2,2,FALSE
183,1,1,2,2,FALSE
189,1,1,2,2,FALSE
195,1,1,2,2,FALSE
157,1,0,2,1,FALSE
107,1,1,2,2,FALSE
147,1,1,2,2,FALSE
118,NA,NA,0,0,TRUE
130,NA,NA,0,0,TRUE
102,1,1,2,2,FALSE
173,1,0,2,1,FALSE
143,1,1,2,2,FALSE
146,1,1,2,2,FALSE
164,NA,NA,0,0,TRUE
178,NA,NA,0,0,TRUE
212,NA,NA,0,0,TRUE
121,NA,NA,0,0,TRUE
153,1,1,2,2,FALSE
119,1,0,2,1,FALSE
192,0,1,2,1,FALSE
154,1,1,2,2,FALSE
158,0,0,2,0,TRUE
124,1,0,2,1,FALSE
126,1,1,2,2,FALSE
206,1,1,2,2,FALSE
188,1,1,2,2,FALSE
140,NA,NA,0,0,TRUE
108,NA,NA,0,0,TRUE
185,1,0,2,1,FALSE
163,1,1,2,2,FALSE
145,1,1,2,2,FALSE
103,1,1,2,2,FALSE
187,1,1,2,2,FALSE
162,1,1,2,2,FALSE
152,0,1,2,1,FALSE
160,1,1,2,2,FALSE
104,NA,NA,0,0,TRUE
113,NA,NA,0,0,TRUE
209,0,0,2,0,TRUE
141,NA,NA,0,0,TRUE
210,1,1,2,2,FALSE
166,1,0,2,1,FALSE
184,1,1,2,2,FALSE
191,1,1,2,2,FALSE
194,1,1,2,2,FALSE
208,1,1,2,2,FALSE
148,1,1,2,2,FALSE
181,1,1,2,2,FALSE
170,1,1,2,2,FALSE
110,1,1,2,2,FALSE
193,1,1,2,2,FALSE
129,1,1,2,2,FALSE
131,1,1,2,2,FALSE
150,1,1,2,2,FALSE
156,1,1,2,2,FALSE
144,1,1,2,2,FALSE
176,1,1,2,2,FALSE
112,1,1,2,2,FALSE
122,1,1,2,2,FALSE
136,1,1,2,2,FALSE
182,1,1,2,2,FALSE
142,1,1,2,2,FALSE
179,1,1,2,2,FALSE
109,1,1,2,2,FALSE
125,1,1,2,2,FALSE
117,1,1,2,2,FALSE
172,1,1,2,2,FALSE
177,1,1,2,2,FALSE
115,1,1,2,2,FALSE
165,1,1,2,2,FALSE
132,1,1,2,2,FALSE
174,1,1,2,2,FALSE
201,1,1,2,2,FALSE
203,1,1,2,2,FALSE
161,1,1,2,2,FALSE
202,1,1,2,2,FALSE
207,1,1,2,2,FALSE
106,1,1,2,2,FALSE
138,1,1,2,2,FALSE
134,1,1,2,2,FALSE
